Unnamed: 0,id,owner_id,title_x,status,sub_status,seo_url_x,description_x,jobs,submitdate_x,preview_description,deleted,nonpublic,hidebids,type,bidperiod,hourly_project_info,featured,urgent,assisted,active_prepaid_milestone,time_submitted,time_updated,qualifications,language,attachments,hireme,hireme_initial_bid,invited_freelancers,recommended_freelancers,frontend_project_status,nda_signatures,true_location,local,negotiated,negotiated_bid,time_free_bids_expire,can_post_review,files,user_distance,from_user_location,project_collaborations,support_sessions,track_ids,drive_files,nda_details,pool_ids,enterprise_ids,timeframe,deloitte_details,is_escrow_project,is_seller_kyc_required,is_buyer_kyc_required,local_details,equipment,nda_signatures_new,billing_code,enterprises,enterprise_metadata_values,repost_id,client_engagement,contract_signatures,quotation_id,quotation_version_id,enterprise_linked_projects_details,equipment_groups,project_source,project_source_reference,quality_details,previous_recruiter_project_details,project_note,is_quotation_project,quotation_initial_bid,requires_upfront_funding,group_ids,currency_id,currency_code_x,currency_sign,currency_name,currency_exchange_rate_x,currency_country,currency_is_external,currency_is_escrowcom_supported,budget_minimum_x,budget_maximum_x,budget_name,budget_project_type,budget_currency_id,bid_stats_bid_count_x,bid_stats_bid_avg_x,upgrades_featured,upgrades_sealed,upgrades_nonpublic,upgrades_fulltime,upgrades_urgent,upgrades_qualified,upgrades_NDA,upgrades_assisted,upgrades_active_prepaid_milestone,upgrades_ip_contract,upgrades_success_bundle,upgrades_non_compete,upgrades_project_management,upgrades_pf_only,upgrades_recruiter,upgrades_listed,upgrades_extend,upgrades_unpaid_recruiter,upgrades_premium,upgrades_enterprise,location_country_name,location_country_flag_url,location_country_code,location_country_highres_flag_url,location_country_flag_url_cdn,location_country_highres_flag_url_cdn,location_country_iso3,location_country_region_id,location_country_phone_code,location_country_demonym,location_country_person,location_country_seo_url,location_country_sanction,location_country_language_code,location_country_language_id,location_city,location_latitude,location_longitude,location_vicinity,location_administrative_area,location_full_address,location_administrative_area_code,location_postal_code,location_id,project_reject_reason_description,project_reject_reason_message,hourly_project_info_commitment_hours,hourly_project_info_commitment_interval,hourly_project_info_duration_enum,query,title_y,seo_url_y,submitdate_y,budget_minimum_y,budget_maximum_y,currency_code_y,currency_exchange_rate_y,bid_stats_bid_count_y,bid_stats_bid_avg_y,budget_maximum_usd_x,budget_minimum_usd_x,description_y,title,seo_url,submitdate,budget_minimum,budget_maximum,currency_code,currency_exchange_rate,bid_stats_bid_count,bid_stats_bid_avg,budget_maximum_usd_y,budget_minimum_usd_y,description,proposal
0,37876833,62521667,Python Developer for Script Modification,active,,python/Python-Developer-for-Script-Modification,,,1710395830,"I'm seeking a proficient Python developer to perform modifications on existing Python scripts, resol",False,False,False,fixed,7,,False,False,,,1710395830,1710417611.0,,en,,False,,,,open,,,False,False,,1710392230.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],11,INR,₹,Indian Rupee,0.012071,IN,False,False,600.0,1500.0,,,,7,1154.2857142857142,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,Python Developer for Script Modification,python/Python-Developer-for-Script-Modification,2024-03-14 05:57:10,600.0,1500.0,INR,0.012071,7.0,1154.2857142857142,18.1065,7.2426,"I'm seeking a proficient Python developer to perform modifications on existing Python scripts, resolving any bugs and enhancing overall functionality and efficiency. The project also involves translating VBScripts to Python while retaining or ideally improving their original functionality. An ideal candidate should have:

- An excellent understanding of Python and its libraries, particularly Django.
- Prior experience in web development and automation tasks.
- An ability to effectively troubleshoot and resolve bugs.
- Proven experience in code efficiency optimization.
- Familiarity with VBScript is beneficial but not obligatory.

The main goal of this project is to enhance our system's functionality, achieve better efficiency, and ensure our code is bug-free. Please show examples of relevant projects in your bid, especially those involving the Django library.",Python Developer for Script Modification,python/Python-Developer-for-Script-Modification,2024-03-14 05:57:10,600.0,1500.0,INR,0.01207,7.0,1154.2857142857142,18.105,7.242000000000001,"I'm seeking a proficient Python developer to perform modifications on existing Python scripts, resolving any bugs and enhancing overall functionality and efficiency. The project also involves translating VBScripts to Python while retaining or ideally improving their original functionality. An ideal candidate should have:

- An excellent understanding of Python and its libraries, particularly Django.
- Prior experience in web development and automation tasks.
- An ability to effectively troubleshoot and resolve bugs.
- Proven experience in code efficiency optimization.
- Familiarity with VBScript is beneficial but not obligatory.

The main goal of this project is to enhance our system's functionality, achieve better efficiency, and ensure our code is bug-free. Please show examples of relevant projects in your bid, especially those involving the Django library.",
1,37877963,72882119,Python Developer with ML and UI Expert,active,,python/Python-Developer-with-Expert,,,1710416966,"Please see attachment too. 

We are seeking a talented and experienced freelance Python developer to",False,False,False,fixed,7,,False,False,,,1710416966,1710416966.0,,en,,False,,,,open,,,False,False,,1710413366.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,30.0,250.0,,,,4,170.0,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,Python Developer with ML and UI Expert,python/Python-Developer-with-Expert,2024-03-14 11:49:26,30.0,250.0,USD,1.0,4.0,170.0,250.0,30.0,"Please see attachment too. 

We are seeking a talented and experienced freelance Python developer to enhance our existing Flask project with a Machine Learning (ML) modeling feature. The ideal candidate will have a strong background in ML algorithms, as well as proficiency in HTML, CSS, and JavaScript to develop a user-friendly interface. Also, minimal experience with Postgres is preferred",Python Developer with ML and UI Expert,python/Python-Developer-with-Expert,2024-03-14 11:49:26,30.0,250.0,USD,1.0,4.0,170.0,250.0,30.0,"Please see attachment too. 

We are seeking a talented and experienced freelance Python developer to enhance our existing Flask project with a Machine Learning (ML) modeling feature. The ideal candidate will have a strong background in ML algorithms, as well as proficiency in HTML, CSS, and JavaScript to develop a user-friendly interface. Also, minimal experience with Postgres is preferred",
2,37877885,3243024,URL Profiler Python Script Development,active,,python/URL-Profiler-Python-Script-Development,,,1710415597,I am in need of a Python script that can verify the existence of a given online profile via URL pars,False,False,False,fixed,7,,False,False,,,1710415597,1710415597.0,,en,,False,,,,open,,,False,False,,1710415717.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,10.0,30.0,,,,15,28.866666666666667,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,URL Profiler Python Script Development,python/URL-Profiler-Python-Script-Development,2024-03-14 11:26:37,10.0,30.0,USD,1.0,15.0,28.866666666666667,30.0,10.0,"I am in need of a Python script that can verify the existence of a given online profile via URL parsing.  Needs to load input.txt (list of URLs one per line, 17k list) and specify found.txt and notfound.txt",URL Profiler Python Script Development,python/URL-Profiler-Python-Script-Development,2024-03-14 11:26:37,10.0,30.0,USD,1.0,15.0,28.866666666666667,30.0,10.0,"I am in need of a Python script that can verify the existence of a given online profile via URL parsing.  Needs to load input.txt (list of URLs one per line, 17k list) and specify found.txt and notfound.txt",
3,37877749,69909035,Python CSV to Excel: Special Characters,active,,python/Python-CSV-Excel-Special-Characters,,,1710413130,"I require an expert in Python, specifically with experience in using pandas, I am trying to convert ",False,False,False,fixed,7,,False,False,,,1710413130,1710413130.0,,en,,False,,,,open,,,False,False,,1710409530.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],3,AUD,$,Australian Dollar,0.662412,AU,False,True,10.0,30.0,,,,14,20.0,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,Python CSV to Excel: Special Characters,python/Python-CSV-Excel-Special-Characters,2024-03-14 10:45:30,10.0,30.0,AUD,0.662412,14.0,20.0,19.87236,6.62412,"I require an expert in Python, specifically with experience in using pandas, I am trying to convert a csv file to excel but am experiencing issues with new line characters. 

Key Responsibilities:
- Amend my current Python script to properly process new line characters when converting from csv to excel 
- Ensure the success of the conversion without any data corruption or loss

Ideal Candidate: 
- Solid Python coding skills 
- Deep understanding of pandas library
- Prior experience dealing with file conversion challenges 

This task has a sense of urgency, as I need it completed ASAP. Please bid with consideration to these requirements and the time frame.",Python CSV to Excel: Special Characters,python/Python-CSV-Excel-Special-Characters,2024-03-14 10:45:30,10.0,30.0,AUD,0.662282,14.0,20.0,19.86846,6.622820000000001,"I require an expert in Python, specifically with experience in using pandas, I am trying to convert a csv file to excel but am experiencing issues with new line characters. 

Key Responsibilities:
- Amend my current Python script to properly process new line characters when converting from csv to excel 
- Ensure the success of the conversion without any data corruption or loss

Ideal Candidate: 
- Solid Python coding skills 
- Deep understanding of pandas library
- Prior experience dealing with file conversion challenges 

This task has a sense of urgency, as I need it completed ASAP. Please bid with consideration to these requirements and the time frame.",
4,37877634,3243024,Python Script Repair for Data Scraping,active,,python/Python-Script-Repair-for-Data,,,1710411063,I'm in need of a highly skilled Python developer who can update and repair a Python script for scrap,False,False,False,fixed,7,,False,False,,,1710411063,1710411063.0,,en,,False,,,,open,,,False,False,,1710411183.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,10.0,30.0,,,,24,36.41666666666666,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,Python Script Repair for Data Scraping,python/Python-Script-Repair-for-Data,2024-03-14 10:11:03,10.0,30.0,USD,1.0,24.0,36.41666666666666,30.0,10.0,I'm in need of a highly skilled Python developer who can update and repair a Python script for scraping that's no longer functioning as it should.,Python Script Repair for Data Scraping,python/Python-Script-Repair-for-Data,2024-03-14 10:11:03,10.0,30.0,USD,1.0,24.0,36.41666666666666,30.0,10.0,I'm in need of a highly skilled Python developer who can update and repair a Python script for scraping that's no longer functioning as it should.,
5,37877621,73723117,Android API Integration & Mobile App Development,active,,android/Android-API-Integration-Mobile-App,,,1710410876,I'm searching for an experienced Android developer to connect our existing API with a mobile applica,False,False,False,fixed,7,,False,False,,,1710410876,1710410876.0,,en,,False,,,,open,,,False,False,,1710411176.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,250.0,750.0,,,,83,554.8313253012049,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,Android API Integration & Mobile App Development,android/Android-API-Integration-Mobile-App,2024-03-14 10:07:56,250.0,750.0,USD,1.0,83.0,554.8313253012049,750.0,250.0,"I'm searching for an experienced Android developer to connect our existing API with a mobile application. The project involves the following:

- Creating a user login and registration feature.
- Enabling push notifications.
- Integrating social media functionalities.

Additionally, the application should allow product catalog browsing, order placement, and customer management. A developer with experience in API integration is highly desirable. 

As for the development process, I prefer Python and the use of a high-level coding editor. If you have proficiency in these areas and have the right skills for the project, I'd like to hear from you.",Android API Integration & Mobile App Development,android/Android-API-Integration-Mobile-App,2024-03-14 10:07:56,250.0,750.0,USD,1.0,83.0,554.8313253012049,750.0,250.0,"I'm searching for an experienced Android developer to connect our existing API with a mobile application. The project involves the following:

- Creating a user login and registration feature.
- Enabling push notifications.
- Integrating social media functionalities.

Additionally, the application should allow product catalog browsing, order placement, and customer management. A developer with experience in API integration is highly desirable. 

As for the development process, I prefer Python and the use of a high-level coding editor. If you have proficiency in these areas and have the right skills for the project, I'd like to hear from you.",
6,37877555,29697351,Cloudflare Bypass for Python Scrapy Expert,active,,python/Cloudflare-Bypass-for-Python-Scrapy,,,1710409520,"I'm seeking a Python expert proficient in the Scrapy framework. 
Your mission? Adeptly bypassing Clo",False,False,False,hourly,7,,False,False,,,1710409520,1710409520.0,,en,,False,,,,open,,,False,False,,1710405920.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],11,INR,₹,Indian Rupee,0.012071,IN,False,False,1250.0,2500.0,,,,12,1772.9166666666667,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,week,unspecified,python,Cloudflare Bypass for Python Scrapy Expert,python/Cloudflare-Bypass-for-Python-Scrapy,2024-03-14 09:45:20,1250.0,2500.0,INR,0.012071,12.0,1772.9166666666667,30.1775,15.08875,"I'm seeking a Python expert proficient in the Scrapy framework. 
Your mission? Adeptly bypassing Cloudflare protection to scrape listings from specified websites.

Your Skills & Experience:
- Python programming
- Extensive experience with Scrapy 
- Thorough knowledge of how to bypass Cloudflare

The Task at Hand:
- Enable the Scrapy Python script to bypass Cloudflare protection
- Specific targets: extract listings data
- Details will be provided upon project commencement.

Do start your proposal with ""scraping is an art"".

Only seasoned professionals need to apply. Please submit evidence of previous, similar work.",Cloudflare Bypass for Python Scrapy Expert,python/Cloudflare-Bypass-for-Python-Scrapy,2024-03-14 09:45:20,1250.0,2500.0,INR,0.01207,12.0,1772.9166666666667,30.175,15.0875,"I'm seeking a Python expert proficient in the Scrapy framework. 
Your mission? Adeptly bypassing Cloudflare protection to scrape listings from specified websites.

Your Skills & Experience:
- Python programming
- Extensive experience with Scrapy 
- Thorough knowledge of how to bypass Cloudflare

The Task at Hand:
- Enable the Scrapy Python script to bypass Cloudflare protection
- Specific targets: extract listings data
- Details will be provided upon project commencement.

Do start your proposal with ""scraping is an art"".

Only seasoned professionals need to apply. Please submit evidence of previous, similar work.",
7,37877445,25077395,Streaming Platform Music Recognition Expert,active,,python/Streaming-Platform-Music-Recognition,,,1710407545,"I'm seeking a specialist able to bring music recognition functionality to a project, specifically fo",False,False,False,fixed,7,,False,False,,,1710407545,1710407545.0,,en,,False,,,,open,,,False,False,,1710413545.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,30.0,250.0,,,,16,189.0625,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,Streaming Platform Music Recognition Expert,python/Streaming-Platform-Music-Recognition,2024-03-14 09:12:25,30.0,250.0,USD,1.0,16.0,189.0625,250.0,30.0,"I'm seeking a specialist able to bring music recognition functionality to a project, specifically focusing on streaming platforms or local file ingesting. The purpose of the project is to create a system similar to Shazam, except tailored towards recognizing music from streaming URLs or local audio file recordings. 

Key Requirements: 
- Experience with Music Recognition Development and SHAZAM
- Knowledge of Streaming Platforms 

Ideal Skills:
- python and c# expert
- Programming (with a focus on music/audio-centric applications)",Streaming Platform Music Recognition Expert,python/Streaming-Platform-Music-Recognition,2024-03-14 09:12:25,30.0,250.0,USD,1.0,16.0,189.0625,250.0,30.0,"I'm seeking a specialist able to bring music recognition functionality to a project, specifically focusing on streaming platforms or local file ingesting. The purpose of the project is to create a system similar to Shazam, except tailored towards recognizing music from streaming URLs or local audio file recordings. 

Key Requirements: 
- Experience with Music Recognition Development and SHAZAM
- Knowledge of Streaming Platforms 

Ideal Skills:
- python and c# expert
- Programming (with a focus on music/audio-centric applications)",
8,37877428,51271424,Script selenium problem  ,active,,python/Script-selenium-problem,,,1710407234,"I'm currently encountering frequent errors with my Python
Selenium script and I believe I may becaus",False,False,False,fixed,7,,False,False,,,1710407234,1710407234.0,,en,,False,,,,open,,,False,False,,1710403626.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],8,EUR,€,Euro,1.09416,EU,False,True,8.0,30.0,,,,26,25.23076923076923,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,Script selenium problem  ,python/Script-selenium-problem,2024-03-14 09:07:14,8.0,30.0,EUR,1.09416,26.0,25.23076923076923,32.8248,8.75328,"I'm currently encountering frequent errors with my Python
Selenium script and I believe I may because of ip-implementation.

Requirements:
1. Extensive experience with Python Selenium
2. Knowledge on web scraping
3. Ability to fix the frequent errors and optimize the script for efficient execution

Goal is to fix it and make it work properly. Let’s discuss about it.",Script selenium problem  ,python/Script-selenium-problem,2024-03-14 09:07:14,8.0,30.0,EUR,1.094112,26.0,25.23076923076923,32.82336,8.752896,"I'm currently encountering frequent errors with my Python
Selenium script and I believe I may because of ip-implementation.

Requirements:
1. Extensive experience with Python Selenium
2. Knowledge on web scraping
3. Ability to fix the frequent errors and optimize the script for efficient execution

Goal is to fix it and make it work properly. Let’s discuss about it.",
9,37877423,63539659,POC - Mobile & Backend Developer Needed,active,,mobile-app-development/POC-Mobile-Backend-Developer-Needed,,,1710407153,I'm searching for a reliable backend and mobile developer to contribute to my project. Your responsi,False,False,False,fixed,7,,False,False,,,1710407153,1710407153.0,,en,,False,,,,open,,,False,False,,1710414347.0,,,,,,,,,,['freelancer'],[],,,False,False,False,,,,,[],,,,,,,,,,,,,,,,,[],1,USD,$,US Dollar,1.0,US,False,True,250.0,750.0,,,,54,565.5555555555555,False,False,False,False,False,False,False,,,False,,False,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,python,POC - Mobile & Backend Developer Needed,mobile-app-development/POC-Mobile-Backend-Developer-Needed,2024-03-14 09:05:53,250.0,750.0,USD,1.0,54.0,565.5555555555555,750.0,250.0,"I'm searching for a reliable backend and mobile developer to contribute to my project. Your responsibilities will include crafting an effective user authentication system, integrating the database, and developing APIs. The backend must function with AWS stack, and the mobile application should be compatible with both Android and IOS.

Key Skills Required:

1. Solid experience in Python, Golang
2. Proficient in AWS Stack 
3. Knowledge on Android and iOS platforms 

The mobile application should contain the following functionalities:

- User registration and login 
- Enabling of push notifications
- Incorporation of in-app purchases 
- Geolocation feature implementation 

If you have the expertise and are passionate about building efficient systems, please place your bid.",POC - Mobile & Backend Developer Needed,mobile-app-development/POC-Mobile-Backend-Developer-Needed,2024-03-14 09:05:53,250.0,750.0,USD,1.0,54.0,565.5555555555555,750.0,250.0,"I'm searching for a reliable backend and mobile developer to contribute to my project. Your responsibilities will include crafting an effective user authentication system, integrating the database, and developing APIs. The backend must function with AWS stack, and the mobile application should be compatible with both Android and IOS.

Key Skills Required:

1. Solid experience in Python, Golang
2. Proficient in AWS Stack 
3. Knowledge on Android and iOS platforms 

The mobile application should contain the following functionalities:

- User registration and login 
- Enabling of push notifications
- Incorporation of in-app purchases 
- Geolocation feature implementation 

If you have the expertise and are passionate about building efficient systems, please place your bid.",
